prop_country_id,prop_location_score2
1,0.0698
2,0.026
4,0.0192
7,0.10175
9,0.0511
10,0.2225
11,0.0246
13,0.011300000000000001
14,0.0343
15,0.0137
16,0.0173
17,0.01
18,0.0158
19,0.3939
20,0.1374
21,0.1516
22,0.0355
23,0.0092
25,0.0817
26,0.0286
27,0.0206
30,0.0299
31,0.0273
32,0.0285
33,0.0278
34,0.0093
35,0.0139
37,0.0213
38,0.0357
39,0.0273
40,0.0097
41,0.0379
42,0.019424999999999998
44,0.0614
45,0.0243
46,0.12340000000000001
47,0.0151
48,0.0068
50,0.0267
51,0.2581
53,0.0136
55,0.0128
56,0.0217
57,0.011075000000000002
59,0.0297
60,0.0319
61,0.0296
62,0.087
63,0.2281
65,0.104875
68,0.03615
69,0.02985
70,0.017
71,0.0071
72,0.0441
73,0.0424
74,0.034975000000000006
76,0.0823
77,0.0469
79,0.102825
80,0.0403
81,0.0314
82,0.0913
83,0.0373
86,0.0242
87,0.029949999999999997
88,0.0154
89,0.11635000000000001
90,0.0216
91,0.0175
92,0.0155
93,0.04195
96,0.0453
97,0.0081
98,0.0197
99,0.0156
100,0.0278
102,0.0201
103,0.0585
106,0.0198
108,0.049
109,0.0323
111,0.2162
112,0.0289
113,0.0661
117,0.009
119,0.0285
120,0.0553
122,0.0184
123,0.0294
124,0.0621
125,0.025
126,0.098875
127,0.0092
128,0.0691
129,0.0102
131,0.05515
132,0.0125
134,0.0236
135,0.032350000000000004
136,0.0898
137,0.047175
138,0.0323
140,0.27032500000000004
141,0.1657
143,0.05295
145,0.0495
146,0.07935
149,0.0063
151,0.0209
152,0.0063
153,0.0509
154,0.0235
155,0.0503
156,0.0032
157,0.0994
158,0.0156
159,0.0121
160,0.0178
161,0.0777
162,0.0277
163,0.0345
164,0.0584
165,
167,0.2261
169,0.0277
171,0.036699999999999997
172,0.0495
173,0.0215
177,0.014
178,0.0147
179,0.0369
180,0.030125
181,0.0112
182,0.0117
184,0.0659
185,0.0747
186,0.024125
187,0.054
189,0.0556
190,0.027
192,0.0321
194,0.0251
195,0.0124
196,0.0461
197,0.0669
200,0.0521
201,0.04235
202,0.0106
203,0.023725
204,0.0
205,0.0378
206,0.0765
207,0.0496
208,0.0282
211,0.0274
212,0.0433
213,0.0133
214,0.0225
215,0.02
216,0.0195
217,0.23985
219,0.0182
220,0.0549
221,0.0315
222,0.02715
223,0.033
224,0.0561
225,0.013
226,0.0804
229,0.0641
230,0.0251
